elapsed_s,gpu_mem_used_mib,gpu_util_pct,top_rss_kib,host_avail_mib
0,1,0,108168,1440868
5,92978,0,3724824,1437591
10,92984,0,3953828,1437442
16,92992,0,4548944,1436592
21,92992,0,4566608,1436710
26,92992,0,4822680,1436268
31,92982,0,3817624,1437277
36,92984,0,4018520,1437114
41,92992,0,4542304,1436483
46,92992,0,4567328,1436502
51,92992,0,4835372,1436165
56,32942,0,1982928,1438959
61,33018,0,2495248,1438608
66,33026,0,2612928,1438428
72,33030,100,2833784,1438166
77,33030,100,2833856,1438177
82,33030,100,2833856,1438184
87,33030,100,2833864,1438193
92,33030,100,2833868,1438200
97,33030,100,2833868,1437908
102,33030,100,2833868,1438246
107,33030,100,2833868,1438286
112,33030,100,2833868,1438284
117,33030,100,2833868,1438339
122,33030,100,2833880,1438354
128,33030,100,2833904,1438332
133,33030,100,2833904,1438358
138,33030,100,2833904,1438374
143,33030,100,2833904,1438392
148,33030,100,2833904,1438465
153,33030,100,2833904,1438365
158,33030,100,2833904,1438467
163,33030,100,2833904,1438478
168,33030,100,2833904,1438532
173,33030,100,2833916,1438511
178,33030,100,2833936,1438510
183,33030,100,2833940,1438502
188,33030,100,2833940,1438516
194,33030,100,2833940,1438515
199,33030,100,2833940,1438515
204,33030,100,2833940,1438597
209,33030,100,2833940,1438578
214,33030,100,2833940,1438578
219,33030,100,2833940,1438582
224,33030,100,2833944,1438583
229,33030,100,2833968,1438575
234,33030,100,2833968,1438556
239,33030,100,2833972,1438528
244,33030,100,2833972,1438587
250,33030,100,2833972,1438599
255,33030,100,2833972,1438601
260,33030,100,2833972,1438613
265,33030,100,2833972,1438597
270,33030,100,2833972,1436968
275,33030,100,2833972,1437901
280,33030,100,2833988,1437918
285,33030,100,2833988,1438014
290,33030,100,2833988,1438093
295,33030,100,2833992,1438130
300,33030,100,2833992,1438144
305,33030,100,2833992,1438099
311,33030,100,2833992,1437891
316,33030,100,2833992,1436605
321,33030,100,2833992,1436503
326,33030,100,2833992,1436285
331,33030,100,2834012,1436405
336,33030,100,2834012,1436342
341,33030,100,2834012,1438543
346,33030,100,2834012,1438511
351,33030,100,2834012,1438499
356,33030,100,2834012,1438601
362,33030,100,2834012,1438606
367,33030,100,2834012,1438580
372,33030,100,2834012,1438605
377,33030,100,2834012,1437074
382,33030,100,2834032,1438121
387,33030,100,2834032,1438167
392,33030,100,2834032,1438179
397,33030,100,2834032,1438322
402,33030,100,2834032,1438235
407,33030,100,2834032,1438244
412,33030,100,2834032,1438257
418,33030,100,2834032,1438292
423,33030,100,2834032,1438327
428,33030,100,2834032,1438321
433,33030,100,2834032,1438318
438,33030,100,2834032,1438340
443,33030,100,2834032,1438293
448,33030,100,2834032,1438385
453,33030,100,2834032,1438403
458,33030,100,2834032,1438306
463,33030,100,2834032,1438365
468,33030,100,2834032,1438373
474,33030,100,2834032,1438380
479,33030,100,2834032,1438405
484,33030,100,2834032,1436305
489,33030,100,2834032,1437856
494,33030,100,2834032,1437899
499,33030,100,2834032,1437926
504,33030,100,2834032,1438083
509,33030,100,2834032,1437995
514,33030,100,2834032,1438030
519,33030,100,2834032,1438035
524,33030,100,2834032,1438077
529,33030,100,2834032,1438171
535,33030,100,2834032,1438195
540,33030,100,2834032,1438191
545,33030,100,2834032,1438202
550,33030,100,2834032,1438231
555,33030,100,2834032,1438248
560,33030,100,2834032,1438286
565,33030,100,2834032,1438306
570,33030,100,2834032,1438405
575,33030,100,2834032,1438319
580,33030,100,2834032,1438334
585,33030,100,2834032,1438340
591,33030,100,2834032,1438372
596,33030,100,2834032,1438401
601,33030,100,2834032,1438315
606,33030,100,2834032,1438449
611,33030,100,2834032,1438450
616,33030,100,2834032,1438424
621,33030,100,2834032,1438426
626,33030,100,2834032,1438458
631,33030,100,2834032,1438392
636,33030,100,2834032,1438434
641,33030,100,2834032,1438440
646,33030,100,2834032,1438479
651,33030,100,2834032,1438480
657,33030,100,2834032,1438462
662,33030,100,2834032,1438510
667,33030,100,2834032,1438515
672,33030,100,2834032,1438583
677,33030,100,2834032,1438609
682,33030,100,2834032,1438544
687,33030,100,2834032,1438545
692,33030,100,2834032,1438541
697,33030,100,2834032,1438555
702,33030,100,2834032,1438565
707,33030,100,2834032,1438518
712,33030,100,2834032,1438523
718,33030,100,2834032,1438524
723,33030,100,2834032,1438532
728,33030,100,2834032,1438574
733,33030,100,2834032,1438591
738,33030,100,2834032,1438581
743,33030,100,2834032,1438578
748,33030,100,2834032,1438637
753,33030,100,2834032,1438693
758,33030,100,2834032,1438695
763,33030,100,2834032,1437549
768,33030,100,2834032,1437801
773,33030,100,2834032,1437869
779,33030,100,2834032,1437909
784,33030,100,2834032,1437937
789,33030,100,2834032,1437981
794,33030,100,2834032,1438006
799,33030,100,2834032,1438071
804,33030,100,2834032,1438110
809,33030,100,2834032,1437986
814,33030,100,2834032,1437349
819,33030,100,2834032,1436384
824,33030,100,2834032,1436314
829,33030,100,2834032,1435123
834,33030,100,2834032,1435547
840,33030,100,2834032,1435610
845,33030,100,2834032,1435788
850,33030,100,2834032,1435873
855,33030,100,2834032,1435918
860,33030,100,2834032,1435870
865,33030,100,2834032,1435870
870,33030,100,2834032,1436040
875,33030,100,2834032,1436144
880,33030,100,2834032,1435916
885,33030,100,2834032,1436072
890,33030,100,2834032,1436104
895,33030,100,2834032,1436133
901,33030,100,2834032,1438061
906,33030,100,2834032,1437231
911,33030,100,2834032,1438494
916,33030,100,2834032,1438463
921,33030,100,2834032,1438469
926,33030,100,2834032,1438481
931,33030,100,2834032,1438479
936,33030,100,2834032,1438430
941,33030,100,2834032,1438436
946,33030,100,2834032,1438421
951,33030,100,2834032,1438447
957,33030,100,2834032,1438448
962,33030,100,2834032,1438496
967,33030,100,2834032,1438450
972,33030,100,2834032,1437962
977,33030,100,2834032,1436344
982,33030,100,2834032,1437599
987,33030,100,2834032,1437808
992,33030,100,2834032,1437856
997,33030,100,2834032,1436616
1002,33030,100,2834032,1437598
1008,33030,100,2834032,1437623
1013,33030,100,2834032,1437698
1018,33030,100,2834032,1437718
1023,33030,100,2834032,1437760
1028,33030,100,2834032,1437799
1033,33030,100,2834032,1437872
1038,33030,100,2834032,1437939
1043,33030,100,2834032,1437998
1048,33030,100,2834032,1438185
1053,33030,100,2834032,1438193
1058,33030,100,2834032,1438187
1064,33030,100,2834032,1438202
1069,33030,100,2834032,1438196
1074,33030,100,2834032,1438221
1079,33030,100,2834032,1437733
1084,33030,100,2834032,1437832
1089,33030,100,2834032,1437982
1094,33030,100,2834032,1437918
